,id,player_name,position,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,npg,npxG,xGChain,xGBuildup
7557,6171,Vitor Hugo,D S,24.5,1832.0,0.5,0.6776195974089205,1.5,0.6499045984819531,12.0,5.0,5.5,0.5,0.5,0.6776195974089205,4.266606491524726,3.6160470354370773
7558,4183,Vitorino Antunes,D,19.5,1575.75,0.5,0.9773492278764024,1.75,2.057713103480637,19.75,17.75,5.0,0.25,0.25,0.6057104129577056,3.434299903921783,2.3795454716309905
7559,1348,Vittorio Parigini,M S,11.25,310.0,0.0,0.4456967278383672,0.0,0.7322067306376994,7.75,5.25,1.0,0.0,0.0,0.4456967278383672,1.1425780239515007,0.3003607802093029
7560,1395,Vlad Chiriches,D S,11.125,862.625,0.625,0.5586725365137681,0.125,0.19221707491669804,4.0,2.0,1.75,0.125,0.625,0.5586725365137681,3.5620999401435256,3.3628473359858617
7561,3931,Vlada Avramov,GK,1.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0507298521697521,0.0507298521697521
7562,8442,Vladimir Abramov,D,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7563,4635,Vladimir Bozovic,M S,13.0,1003.0,0.0,0.1563750524073839,0.0,0.3227182030677795,6.0,7.0,3.0,0.0,0.0,0.1563750524073839,1.3876565610989928,1.0793861169368029
7564,2934,Vladimir Bystrov,D M S,10.75,366.5,0.75,0.9668328452389687,0.5,0.29680025088600814,7.25,2.25,1.5,0.0,0.75,0.9668328452389687,1.6731379670090971,0.4341502236202359
7565,8965,Vladimir Coufal,D M,23.5,1993.5,0.0,0.881402874365449,4.5,4.067772724665701,11.0,29.0,2.0,0.0,0.0,0.881402874365449,9.761362811550498,5.8826374765485525
7566,27,Vladimir Darida,M S,22.75,1725.75,2.125,2.1861215999815613,2.75,2.6056594393448904,28.875,25.875,4.125,0.375,1.5,1.6178092646878213,7.534849003073759,4.40939240611624
7567,2974,Vladimir Dyadyun,F S,16.75,889.5,0.75,2.005978988017887,0.75,0.6595093131763861,21.25,11.25,2.25,0.0,0.75,2.005978988017887,3.7304658298380673,1.3097442737780511
7568,2744,Vladimir Gabulov,GK,19.5,1744.0,0.0,0.0273626074194908,0.0,0.08894158713519569,0.25,0.75,2.25,0.0,0.0,0.0273626074194908,0.6962514400947839,0.6073098534252495
